,Date,Hashrate_Price_Multiple
665,2018-04-19,30536556.5191
666,2018-04-18,30918263.4756
667,2018-04-17,26910340.4324
668,2018-04-16,31109116.9538
669,2018-04-15,26146926.5195
670,2018-04-14,28798401.5171
671,2018-04-13,26878508.0827
672,2018-04-12,28100258.4501
673,2018-04-11,28623865.7504
674,2018-04-10,25656757.7153
675,2018-04-09,28100258.4501
676,2018-04-08,31416438.0187
677,2018-04-07,24085935.8143
678,2018-04-06,27227579.6162
679,2018-04-05,25656757.7153
680,2018-04-04,28449329.9836
681,2018-04-03,27227579.6162
682,2018-04-02,28274794.2168
683,2018-04-01,22031861.2314
684,2018-03-31,27884074.371
685,2018-03-30,26162835.2123
686,2018-03-29,23236728.6425
687,2018-03-28,26162835.2123
688,2018-03-27,25818587.3805
689,2018-03-26,23236728.6425
690,2018-03-25,26851330.8757
691,2018-03-24,22892480.8107
692,2018-03-23,24613719.9694
693,2018-03-22,26162835.2123
694,2018-03-21,21859737.3155
695,2018-03-20,26679206.9599
696,2018-03-19,25990711.2964
697,2018-03-18,24372959.7309
698,2018-03-17,25517998.1076
699,2018-03-16,23555075.1762
700,2018-03-15,23555075.1762
701,2018-03-14,25845151.9294
702,2018-03-13,26335882.6623
703,2018-03-12,25027267.3747
704,2018-03-11,22900767.5324
705,2018-03-10,23882228.9981
706,2018-03-09,26499459.5732
707,2018-03-08,25681575.0185
708,2018-03-07,25517998.1076
709,2018-03-06,24372959.7309
710,2018-03-05,22125683.7062
711,2018-03-04,26909615.3184
712,2018-03-03,23321666.6093
713,2018-03-02,24667147.3752
714,2018-03-01,23172168.7464
715,2018-02-28,23919658.0608
716,2018-02-27,21079198.6661
717,2018-02-26,25564134.5525
718,2018-02-25,21677190.1176
719,2018-02-24,22125683.7062
720,2018-02-23,22275181.5691
721,2018-02-22,25265138.8267
722,2018-02-21,21079198.6661
723,2018-02-20,23149934.669
724,2018-02-19,23149934.669
725,2018-02-18,21292223.8622
726,2018-02-17,22435430.5125
727,2018-02-16,18720008.899
728,2018-02-15,25579248.8009
729,2018-02-14,23435736.3316
730,2018-02-13,23721537.9942
731,2018-02-12,21578025.5248
732,2018-02-11,20434818.8745
733,2018-02-10,19291612.2242
734,2018-02-09,18720008.899
735,2018-02-08,20149017.2119
736,2018-02-07,24293141.3193
737,2018-02-06,23938939.7752
738,2018-02-05,23033142.054
739,2018-02-04,20445148.5648
740,2018-02-03,21739145.3094
741,2018-02-02,20703947.9137
742,2018-02-01,15139761.9119
743,2018-01-31,21609745.6349
744,2018-01-30,19151151.8202
745,2018-01-29,20445148.5648
746,2018-01-28,20315748.8903
747,2018-01-27,20056949.5414
748,2018-01-26,20445148.5648
749,2018-01-25,19491455.5975
750,2018-01-24,19602202.5043
751,2018-01-23,18494733.4362
752,2018-01-22,20709671.5723
753,2018-01-21,19712949.4111
754,2018-01-20,18273239.6226
755,2018-01-19,19159214.877
756,2018-01-18,18494733.4362
757,2018-01-17,17608758.1818
758,2018-01-16,16612036.0206
759,2018-01-15,17165770.5546
760,2018-01-14,16501289.1138
761,2018-01-13,17087521.8643
762,2018-01-12,18527481.5719
763,2018-01-11,15935554.0981
764,2018-01-10,15743559.4704
765,2018-01-09,15935554.0981
766,2018-01-08,15551564.8428
767,2018-01-07,16127548.7258
768,2018-01-06,13727615.8797
769,2018-01-05,16127548.7258
770,2018-01-04,15071578.2735
